id,date,exercise_id,workout_id,notes
1,2024-10-28,1,1,
2,2024-10-28,2,1,
3,2024-10-28,3,1,
4,2024-10-28,4,1,
5,2024-10-28,5,1,
6,2024-10-28,6,1,
7,2024-10-30,1,2,
8,2024-10-30,2,2,
9,2024-10-30,3,2,
10,2024-10-30,4,2,
11,2024-10-30,5,2,
12,2024-10-30,6,2,
13,2024-11-01,1,3,
14,2024-11-01,2,3,
15,2024-11-01,3,3,
16,2024-11-01,4,3,
17,2024-11-01,5,3,
18,2024-11-01,6,3,
19,2024-11-05,1,4,
20,2024-11-05,2,4,
21,2024-11-05,3,4,
22,2024-11-05,4,4,
23,2024-11-05,5,4,
24,2024-11-05,6,4,
25,2024-11-07,1,5,
26,2024-11-07,2,5,
27,2024-11-07,3,5,
28,2024-11-07,4,5,
29,2024-11-07,5,5,
30,2024-11-07,6,5,
31,2024-11-09,1,6,
32,2024-11-09,2,6,
33,2024-11-09,3,6,
34,2024-11-09,4,6,
35,2024-11-09,5,6,
36,2024-11-09,6,6,
37,2024-11-13,1,7,
38,2024-11-13,2,7,
39,2024-11-13,3,7,
40,2024-11-13,4,7,
41,2024-11-13,5,7,
42,2024-11-13,6,7,
43,2024-11-15,1,8,
44,2024-11-15,2,8,
45,2024-11-15,3,8,
46,2024-11-15,4,8,
47,2024-11-15,5,8,
48,2024-11-15,6,8,
49,2024-11-18,1,9,
50,2024-11-18,2,9,
51,2024-11-18,3,9,
52,2024-11-18,4,9,
53,2024-11-18,5,9,
54,2024-11-18,6,9,
55,2024-11-21,1,10,
56,2024-11-21,2,10,
57,2024-11-21,3,10,
58,2024-11-21,4,10,
59,2024-11-21,5,10,
60,2024-11-21,6,10,
61,2024-11-25,1,11,
62,2024-11-25,2,11,
63,2024-11-25,3,11,
64,2024-11-25,4,11,
65,2024-11-25,5,11,
66,2024-11-25,6,11,
67,2024-11-28,1,12,
68,2024-11-28,2,12,
69,2024-11-28,3,12,
70,2024-11-28,4,12,
71,2024-11-28,5,12,
72,2024-11-28,6,12,
73,2024-11-30,1,13,
74,2024-11-30,2,13,
75,2024-11-30,3,13,
76,2024-11-30,4,13,
77,2024-11-30,5,13,
78,2024-11-30,6,13,
79,2024-12-03,1,14,
80,2024-12-03,2,14,
81,2024-12-03,3,14,
82,2024-12-03,4,14,
83,2024-12-03,5,14,
84,2024-12-03,6,14,
85,2024-12-05,1,15,
86,2024-12-05,2,15,
87,2024-12-05,3,15,
88,2024-12-05,4,15,
89,2024-12-05,5,15,
90,2024-12-05,6,15,
91,2024-12-08,1,16,
92,2024-12-08,2,16,
93,2024-12-08,3,16,
94,2024-12-08,4,16,
95,2024-12-08,5,16,
96,2024-12-08,6,16,
97,2024-12-11,1,17,
98,2024-12-11,2,17,
99,2024-12-11,3,17,
100,2024-12-11,4,17,
101,2024-12-11,5,17,
102,2024-12-11,6,17,
103,2024-12-13,1,18,
104,2024-12-13,2,18,
105,2024-12-13,3,18,
106,2024-12-13,4,18,
107,2024-12-13,5,18,
108,2024-12-13,6,18,
109,2024-12-17,1,19,
110,2024-12-17,2,19,
111,2024-12-17,3,19,
112,2024-12-17,4,19,
113,2024-12-17,5,19,
114,2024-12-17,6,19,
115,2024-12-21,1,20,
116,2024-12-21,2,20,
117,2024-12-21,3,20,
118,2024-12-21,4,20,
119,2024-12-21,5,20,
120,2024-12-21,6,20,
121,2024-12-24,1,21,
122,2024-12-24,2,21,
123,2024-12-24,3,21,
124,2024-12-24,4,21,
125,2024-12-24,5,21,
126,2024-12-24,6,21,
