id,date,completed,start_time,end_time,duration,notes
1,2024-10-28,1,2024-10-28 15:47:06.127594,2024-10-28 17:24:10.127594,5824,
2,2024-11-01,1,2024-11-01 15:47:06.127594,2024-11-01 18:08:24.127594,8478,
3,2024-11-03,1,2024-11-03 15:47:06.127594,2024-11-03 17:25:40.127594,5914,
4,2024-11-05,1,2024-11-05 15:47:06.127594,2024-11-05 18:25:05.127594,9479,
5,2024-11-08,1,2024-11-08 15:47:06.127594,2024-11-08 18:26:52.127594,9586,
6,2024-11-12,1,2024-11-12 15:47:06.127594,2024-11-12 18:30:44.127594,9818,
7,2024-11-14,1,2024-11-14 15:47:06.127594,2024-11-14 17:16:14.127594,5348,
8,2024-11-16,1,2024-11-16 15:47:06.127594,2024-11-16 18:17:53.127594,9047,
9,2024-11-20,1,2024-11-20 15:47:06.127594,2024-11-20 17:39:59.127594,6773,
10,2024-11-22,1,2024-11-22 15:47:06.127594,2024-11-22 17:23:14.127594,5768,
11,2024-11-26,1,2024-11-26 15:47:06.128596,2024-11-26 17:46:46.128596,7180,
12,2024-11-30,1,2024-11-30 15:47:06.128596,2024-11-30 17:21:16.128596,5650,
13,2024-12-03,1,2024-12-03 15:47:06.128596,2024-12-03 17:48:59.128596,7313,
14,2024-12-07,1,2024-12-07 15:47:06.128596,2024-12-07 18:00:40.128596,8014,
15,2024-12-09,1,2024-12-09 15:47:06.128596,2024-12-09 18:02:35.128596,8129,
16,2024-12-13,1,2024-12-13 15:47:06.128596,2024-12-13 18:31:08.128596,9842,
17,2024-12-17,1,2024-12-17 15:47:06.128596,2024-12-17 18:25:28.128596,9502,
18,2024-12-19,1,2024-12-19 15:47:06.128596,2024-12-19 17:17:34.128596,5428,
19,2024-12-22,1,2024-12-22 15:47:06.128596,2024-12-22 18:09:31.128596,8545,
20,2024-12-24,1,2024-12-24 15:47:06.128596,2024-12-24 17:14:03.128596,5217,
21,2024-12-26,1,2024-12-26 15:47:06.128596,2024-12-26 17:41:59.128596,6893,
